111.206.221.10 - - [30/Jun/2018:02:29:12 +1000] "GET /layerslider/js/layerslider.kreaturamedia.jquery.js HTTP/1.1" 200 57013 "http://www.linkservices.com.au/" "Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
111.206.198.105 - - [30/Jun/2018:02:29:10 +1000] "GET /css/entypo.css HTTP/1.1" 200 14171 "http://www.linkservices.com.au/" "Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
220.181.108.106 - - [30/Jun/2018:02:29:09 +1000] "GET / HTTP/1.1" 200 6301 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
111.206.221.67 - - [30/Jun/2018:02:29:14 +1000] "GET /img/masterslider/04.jpg HTTP/1.1" 200 748158 "http://www.linkservices.com.au/" "Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
111.206.221.36 - - [30/Jun/2018:02:29:23 +1000] "GET /img/masterslider/02.jpg HTTP/1.1" 200 589463 "http://www.linkservices.com.au/" "Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
212.83.173.90 - - [30/Jun/2018:03:00:42 +1000] "GET /robots.txt HTTP/1.1" 404 283 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.75 Safari/537.36 OPR/36.0.2130.32"
212.83.173.90 - - [30/Jun/2018:03:00:42 +1000] "GET /administrator/index.php HTTP/1.1" 404 296 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.75 Safari/537.36 OPR/36.0.2130.32"
212.83.173.90 - - [30/Jun/2018:03:00:43 +1000] "GET /blog/robots.txt HTTP/1.1" 404 288 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.75 Safari/537.36 OPR/36.0.2130.32"
212.83.173.90 - - [30/Jun/2018:03:00:43 +1000] "GET /blog/administrator/index.php HTTP/1.1" 404 301 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.75 Safari/537.36 OPR/36.0.2130.32"
212.83.173.90 - - [30/Jun/2018:03:00:43 +1000] "GET /joomla/robots.txt HTTP/1.1" 404 290 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.75 Safari/537.36 OPR/36.0.2130.32"
212.83.173.90 - - [30/Jun/2018:03:00:44 +1000] "GET /joomla/administrator/index.php HTTP/1.1" 404 303 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.75 Safari/537.36 OPR/36.0.2130.32"
